SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Turdus philomelos,Song Thrush,TC009492,sonthr1,species,24777.0,,TUPH,SOTH
Turdus mupinensis,Chinese Thrush,TC009493,chithr2,species,24782.0,CHTH,TUMU,
Turdus viscivorus,Mistle Thrush,TC009494,misthr1,species,24783.0,MITH,TUVI,
Turdus nigrescens,Sooty Thrush,TC009495,soorob1,species,24787.0,SOTH,TUNI,SOOT
Turdus infuscatus,Black Thrush,TC009496,blarob1,species,24788.0,,TUIN,BLTH
Turdus plebejus,Mountain Thrush,TC009497,mourob1,species,24789.0,,TUPL,MOTH
Turdus leucops,Pale-eyed Thrush,TC009498,paethr1,species,24793.0,PETH,TULE,
Turdus falcklandii,Austral Thrush,TC009499,austhr1,species,24794.0,AUTH,TUFA,
Turdus reevei,Plumbeous-backed Thrush,TC009502,plbthr2,species,24799.0,PBTH,TURE,
Turdus flavipes,Yellow-legged Thrush,TC009503,yelthr1,species,24800.0,YLTH,TUFL,
Turdus leucomelas,Pale-breasted Thrush,TC009504,pabthr1,species,24806.0,PBTH,TULE,
Turdus fumigatus,Cocoa Thrush,TC009505,cocthr1,species,24810.0,COTH,TUFU,COCT
Turdus hauxwelli,Hauxwell's Thrush,TC009508,hauthr1,species,24816.0,HATH,TUHA,
Turdus obsoletus,Pale-vented Thrush,TC009511,pavthr1,species,24817.0,,TUOB,PVTH
Turdus rufiventris,Rufous-bellied Thrush,TC009512,rubthr1,species,24817.08,RBTH,TURU,
Turdus grayi,Clay-colored Thrush,TC009513,clcrob,species,24817.14,,TUGR,CCTH
Turdus nudigenis,Spectacled Thrush,TC009514,baerob1,species,24817.28,,TUNU,SPTH
Turdus maculirostris,Ecuadorian Thrush,TC009515,ecuthr1,species,24817.34,ECTH,TUMA,
Turdus sanchezorum,Varzea Thrush,TC009510,hauthr3,species,24818.0,VATH,TUSA,
Turdus haplochrous,Unicolored Thrush,TC009517,unithr1,species,24834.0,UNTH,TUHA,
Turdus jamaicensis,White-eyed Thrush,TC009516,whethr1,species,24837.0,,TUJA,WETH
Turdus lawrencii,Lawrence's Thrush,TC009518,lawthr1,species,24839.0,LATH,TULA,
Turdus amaurochalinus,Creamy-bellied Thrush,TC009519,crbthr1,species,24840.0,CBTH,TUAM,
Turdus ignobilis,Black-billed Thrush,TC009520,blbthr1,species,24841.0,BBTH,TUIG,
Turdus maranonicus,Marañon Thrush,TC009521,marthr2,species,24847.0,MATH,TUMA,
Turdus fulviventris,Chestnut-bellied Thrush,TC009522,chbthr2,species,24848.0,CBTH,TUFU,
Turdus olivater,Black-hooded Thrush,TC009523,blhthr1,species,24849.0,BHTH,TUOL,
Turdus nigriceps,Slaty Thrush,TC009524,slathr1,species,24858.0,ASTH SLTH,TUNI,
Turdus fuscater,Great Thrush,TC009527,grethr1,species,24861.0,GRTH,TUFU,
Turdus chiguanco,Chiguanco Thrush,TC009528,chithr1,species,24869.0,CHTH,TUCH,
Turdus serranus,Glossy-black Thrush,TC009529,glbthr1,species,24873.0,GBTH,TUSE,
Turdus assimilis,White-throated Thrush,TC009530,whtrob1,species,24878.0,,TUAS,WTTH
Turdus albicollis,White-necked Thrush,TC009533,whnrob1,species,24891.0,WNTH,TUAL,
Turdus rufopalliatus,Rufous-backed Robin,TC009534,rubrob,species,24899.0,RBTH,TURU,RBRO
Turdus rufitorques,Rufous-collared Robin,TC009537,rucrob1,species,24902.0,RCTH,TURU,RCRO
Turdus migratorius,American Robin,TC009538,amerob,species,24903.0,,TUMI,AMRO
Turdus swalesi,La Selle Thrush,TC009543,lasthr1,species,24913.0,,TUSW,LSTH
Turdus aurantius,White-chinned Thrush,TC009544,whcthr1,species,24916.0,,TUAU,WCTH
Turdus ravidus,Grand Cayman Thrush,TC009545,grcthr1,species,24917.0,GCTH,TURA,GCAT
Turdus plumbeus,Red-legged Thrush,TC009546,relthr1,species,24918.0,,TUPL,RLTH
Turdus lherminieri,Forest Thrush,TC009550,forthr1,species,24927.0,,TULH,FOTH
Ixoreus naevius,Varied Thrush,TC009552,varthr,species,24933.0,,IXNA,VATH
Ridgwayia pinicola,Aztec Thrush,TC009553,aztthr,species,24937.0,,RIPI,AZTH
Chlamydochaera jefferyi,Fruit-hunter,TC009554,fruit-2,species,24938.0,FRHU FRUI,CHJE,
Cochoa purpurea,Purple Cochoa,TC009270,purcoc1,species,24938.1,PUCO,COPU,
Cochoa viridis,Green Cochoa,TC009271,grecoc1,species,24938.2,GRCO,COVI,
Cochoa beccarii,Sumatran Cochoa,TC009272,sumcoc1,species,24938.3,SUCO,COBE,
Cochoa azurea,Javan Cochoa,TC009273,javcoc1,species,24938.4,JACO,COAZ,
Melanotis caerulescens,Blue Mockingbird,TC010017,blumoc,species,26353.0,,MECA,BLMO
Melanotis hypoleucus,Blue-and-white Mockingbird,TC010018,bawmoc1,species,26356.0,,MEHY,BAWM
Melanoptila glabrirostris,Black Catbird,TC009981,blacat1,species,26357.0,,MEGL,BLCA
Dumetella carolinensis,Gray Catbird,TC009980,grycat,species,26358.0,,DUCA,GRCA
Ramphocinclus brachyurus,White-breasted Thrasher,TC010016,whbthr1,species,26359.0,,RABR,WBTH
Allenia fusca,Scaly-breasted Thrasher,TC010019,scbthr,species,26362.0,,ALFU,SBTH
Margarops fuscatus,Pearly-eyed Thrasher,TC010020,peethr1,species,26368.0,,MAFU,PETH
Cinclocerthia ruficauda,Brown Trembler,TC010021,brotre1,species,26372.0,,CIRU,BRTR
Cinclocerthia gutturalis,Gray Trembler,TC010022,gratre1,species,26377.0,,CIGU,GRTR
Toxostoma curvirostre,Curve-billed Thrasher,TC010006,cubthr,species,26380.0,,TOCU,CBTH
Toxostoma ocellatum,Ocellated Thrasher,TC010005,ocethr1,species,26390.0,,TOOC,OCTH
Toxostoma rufum,Brown Thrasher,TC009999,brnthr,species,26393.0,,TORU,BRTH
Toxostoma longirostre,Long-billed Thrasher,TC010000,lobthr,species,26396.0,,TOLO,LBTH
Toxostoma guttatum,Cozumel Thrasher,TC010002,cozthr1,species,26400.0,COTH,TOGU,COZT
Toxostoma bendirei,Bendire's Thrasher,TC010004,benthr,species,26401.0,,TOBE,BETH
Toxostoma cinereum,Gray Thrasher,TC010003,grathr1,species,26406.0,GRTH,TOCI,GRAT
Toxostoma redivivum,California Thrasher,TC010010,calthr,species,26409.0,,TORE,CATH
Toxostoma lecontei,Le Conte's Thrasher,TC010012,lecthr,species,26412.0,,TOLE,LCTH
Toxostoma crissale,Crissal Thrasher,TC010011,crithr,species,26417.0,,TOCR,CRTH
Oreoscoptes montanus,Sage Thrasher,TC009998,sagthr,species,26423.0,,ORMO,SATH
Mimus thenca,Chilean Mockingbird,TC009989,chimoc1,species,26424.0,CHMO,MITH,
Mimus patagonicus,Patagonian Mockingbird,TC009990,patmoc1,species,26425.0,PAMO,MIPA,
Mimus saturninus,Chalk-browed Mockingbird,TC009991,chbmoc1,species,26426.0,CBMO,MISA,
Mimus triurus,White-banded Mockingbird,TC009992,whbmoc1,species,26431.0,WBMO,MITR,
Mimus dorsalis,Brown-backed Mockingbird,TC009993,brbmoc1,species,26432.0,BBMO,MIDO,
Mimus gundlachii,Bahama Mockingbird,TC009987,bahmoc,species,26433.0,,MIGU,BAMO
Mimus parvulus,Galapagos Mockingbird,TC009994,galmoc1,species,26436.0,GAMO,MIPA,
Mimus trifasciatus,Floreana Mockingbird,TC009995,chamoc1,species,26443.0,FLMO,MITR,
Mimus macdonaldi,Española Mockingbird,TC009996,hoomoc1,species,26444.0,HOMO ESMO,MIMA,
Mimus melanotis,San Cristobal Mockingbird,TC009997,chamoc2,species,26445.0,SCMO,MIME,
Mimus longicaudatus,Long-tailed Mockingbird,TC009988,lotmoc1,species,26446.0,LTMO,MILO,
Mimus graysoni,Socorro Mockingbird,TC009986,socmoc1,species,26451.0,,MIGR,SOMO
